ZIP_Code,State,Parish,Network_Name,Network_Code
70176,LA,Orleans Parish,Orleans Network,OR-036
70177,LA,Orleans Parish,Orleans Network,OR-036
70178,LA,Orleans Parish,Orleans Network,OR-036
70179,LA,Orleans Parish,Orleans Network,OR-036
70181,LA,Orleans Parish,Orleans Network,OR-036
70182,LA,Orleans Parish,Orleans Network,OR-036
70183,LA,Orleans Parish,Orleans Network,OR-036
70184,LA,Orleans Parish,Orleans Network,OR-036
70185,LA,Orleans Parish,Orleans Network,OR-036
70186,LA,Orleans Parish,Orleans Network,OR-036
70187,LA,Orleans Parish,Orleans Network,OR-036
70189,LA,Orleans Parish,Orleans Network,OR-036
70190,LA,Orleans Parish,Orleans Network,OR-036
70195,LA,Orleans Parish,Orleans Network,OR-036
70301,LA,Lafourche Parish,Lafourche Network,LF-029
70302,LA,Lafourche Parish,Lafourche Network,LF-029
70310,LA,Lafourche Parish,Lafourche Network,LF-029
70339,LA,Assumption Parish,Assumption Network,AU-004
70340,LA,St. Mary Parish,St. Mary Network,SR-051
70341,LA,Assumption Parish,Assumption Network,AU-004
70342,LA,St. Mary Parish,St. Mary Network,SR-051
70343,LA,Terrebonne Parish,Terrebonne Network,TR-055
70344,LA,Terrebonne Parish,Terrebonne Network,TR-055
70345,LA,Lafourche Parish,Lafourche Network,LF-029
70346,LA,Ascension Parish,Ascension Network,AS-003
70352,LA,Terrebonne Parish,Terrebonne Network,TR-055
70353,LA,Terrebonne Parish,Terrebonne Network,TR-055
70354,LA,Lafourche Parish,Lafourche Network,LF-029
70355,LA,Lafourche Parish,Lafourche Network,LF-029
70356,LA,Terrebonne Parish,Terrebonne Network,TR-055
70357,LA,Lafourche Parish,Lafourche Network,LF-029
70358,LA,Jefferson Parish,Jefferson Network,JE-026
70359,LA,Terrebonne Parish,Terrebonne Network,TR-055
70360,LA,Terrebonne Parish,Terrebonne Network,TR-055
70361,LA,Terrebonne Parish,Terrebonne Network,TR-055
70363,LA,Terrebonne Parish,Terrebonne Network,TR-055
70364,LA,Terrebonne Parish,Terrebonne Network,TR-055
70371,LA,Lafourche Parish,Lafourche Network,LF-029
70372,LA,Assumption Parish,Assumption Network,AU-004
70373,LA,Lafourche Parish,Lafourche Network,LF-029
70374,LA,Lafourche Parish,Lafourche Network,LF-029
70375,LA,Lafourche Parish,Lafourche Network,LF-029
70377,LA,Terrebonne Parish,Terrebonne Network,TR-055
70380,LA,St. Mary Parish,St. Mary Network,SR-051
70381,LA,St. Mary Parish,St. Mary Network,SR-051
70390,LA,Assumption Parish,Assumption Network,AU-004
70391,LA,Assumption Parish,Assumption Network,AU-004
70392,LA,St. Mary Parish,St. Mary Network,SR-051
70393,LA,Assumption Parish,Assumption Network,AU-004
70394,LA,Lafourche Parish,Lafourche Network,LF-029
70395,LA,Terrebonne Parish,Terrebonne Network,TR-055
70396,LA,St. Mary Parish,St. Mary Network,SR-051
70397,LA,Terrebonne Parish,Terrebonne Network,TR-055
70401,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70402,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70403,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70404,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70420,LA,St. Tammany Parish,St. Tammany Network,ST-052
70421,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70422,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70426,LA,Washington Parish,Washington Network,WA-059
70427,LA,Washington Parish,Washington Network,WA-059
70429,LA,Washington Parish,Washington Network,WA-059
70431,LA,St. Tammany Parish,St. Tammany Network,ST-052
70432,LA,St. Tammany Parish,St. Tammany Network,ST-052
70433,LA,St. Tammany Parish,St. Tammany Network,ST-052
70434,LA,St. Tammany Parish,St. Tammany Network,ST-052
70435,LA,St. Tammany Parish,St. Tammany Network,ST-052
70436,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70437,LA,St. Tammany Parish,St. Tammany Network,ST-052
70438,LA,Washington Parish,Washington Network,WA-059
70439,LA,St. Tammany Parish,St. Tammany Network,ST-052
70440,LA,St. Tammany Parish,St. Tammany Network,ST-052
70441,LA,St. Helena Parish,St. Helena Network,SH-046
70442,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70443,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70444,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70445,LA,St. Tammany Parish,St. Tammany Network,ST-052
70446,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70447,LA,St. Tammany Parish,St. Tammany Network,ST-052
70448,LA,St. Tammany Parish,St. Tammany Network,ST-052
70449,LA,Livingston Parish,Livingston Network,LV-032
70450,LA,Washington Parish,Washington Network,WA-059
70451,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70452,LA,St. Tammany Parish,St. Tammany Network,ST-052
70453,LA,St. Helena Parish,St. Helena Network,SH-046
70454,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70455,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70456,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70457,LA,St. Tammany Parish,St. Tammany Network,ST-052
70458,LA,St. Tammany Parish,St. Tammany Network,ST-052
70459,LA,St. Tammany Parish,St. Tammany Network,ST-052
70460,LA,St. Tammany Parish,St. Tammany Network,ST-052
70461,LA,St. Tammany Parish,St. Tammany Network,ST-052
70462,LA,Livingston Parish,Livingston Network,LV-032
70463,LA,St. Tammany Parish,St. Tammany Network,ST-052
70464,LA,St. Tammany Parish,St. Tammany Network,ST-052
70465,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70466,LA,Tangipahoa Parish,Tangipahoa Network,TA-053
70467,LA,Washington Parish,Washington Network,WA-059
70469,LA,St. Tammany Parish,St. Tammany Network,ST-052
70470,LA,St Tammany Parish,St. Tammany Network,ST-052
70471,LA,St. Tammany Parish,St. Tammany Network,ST-052
70500,LA,Lafayette Parish,Lafayette Network,LA-028
70501,LA,Lafayette Parish,Lafayette Network,LA-028
70502,LA,Lafayette Parish,Lafayette Network,LA-028
70503,LA,Lafayette Parish,Lafayette Network,LA-028
70504,LA,Lafayette Parish,Lafayette Network,LA-028
70505,LA,Lafayette Parish,Lafayette Network,LA-028
70506,LA,Lafayette Parish,Lafayette Network,LA-028
70507,LA,Lafayette Parish,Lafayette Network,LA-028
70508,LA,Lafayette Parish,Lafayette Network,LA-028
70509,LA,Lafayette Parish,Lafayette Network,LA-028
70510,LA,Vermilion Parish,Vermilion Network,VE-057
70511,LA,Vermilion Parish,Vermilion Network,VE-057
70512,LA,St. Landry Parish,St. Landry Network,SL-049
70513,LA,Iberia Parish,Iberia Network,IB-023
70514,LA,St. Mary Parish,St. Mary Network,SR-051
70515,LA,Evangeline Parish,Evangeline Network,EV-020
70516,LA,Acadia Parish,Acadia Network,AC-001
70517,LA,St. Martin Parish,St. Martin Network,SM-050
70518,LA,Lafayette Parish,Lafayette Network,LA-028
70519,LA,St. Martin Parish,St. Martin Network,SM-050
70520,LA,Lafayette Parish,Lafayette Network,LA-028
70521,LA,St Martin Parish,St. Martin Network,SM-050
70522,LA,St. Mary Parish,St. Mary Network,SR-051
70523,LA,St. Mary Parish,St. Mary Network,SR-051
70524,LA,Evangeline Parish,Evangeline Network,EV-020
70525,LA,Acadia Parish,Acadia Network,AC-001
70526,LA,Acadia Parish,Acadia Network,AC-001
70527,LA,Acadia Parish,Acadia Network,AC-001
70528,LA,Vermilion Parish,Vermilion Network,VE-057
70529,LA,Lafayette Parish,Lafayette Network,LA-028
70530,LA,St. Martin Parish,St. Martin Network,SM-050
70531,LA,Acadia Parish,Acadia Network,AC-001
70532,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70533,LA,Vermilion Parish,Vermilion Network,VE-057
70534,LA,Acadia Parish,Acadia Network,AC-001
70535,LA,St. Landry Parish,St. Landry Network,SL-049
70536,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70537,LA,Acadia Parish,Acadia Network,AC-001
70538,LA,St. Mary Parish,St. Mary Network,SR-051
70539,LA,Vermilion Parish,Vermilion Network,VE-057
70540,LA,St Mary Parish,St. Mary Network,SR-051
70541,LA,St. Landry Parish,St. Landry Network,SL-049
70542,LA,Vermilion Parish,Vermilion Network,VE-057
70543,LA,Acadia Parish,Acadia Network,AC-001
70544,LA,Iberia Parish,Iberia Network,IB-023
70545,LA,St. Landry Parish,St. Landry Network,SL-049
70546,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70547,LA,Vermilion Parish,Vermilion Network,VE-057
70548,LA,Vermilion Parish,Vermilion Network,VE-057
70549,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70550,LA,St. Landry Parish,St. Landry Network,SL-049
70551,LA,St. Landry Parish,St. Landry Network,SL-049
70552,LA,Iberia Parish,Iberia Network,IB-023
70553,LA,St. Landry Parish,St. Landry Network,SL-049
70554,LA,Evangeline Parish,Evangeline Network,EV-020
70555,LA,Vermilion Parish,Vermilion Network,VE-057
70556,LA,Acadia Parish,Acadia Network,AC-001
70557,LA,Iberia Parish,Iberia Network,IB-023
70558,LA,Lafayette Parish,Lafayette Network,LA-028
70559,LA,Acadia Parish,Acadia Network,AC-001
70560,LA,Iberia Parish,Iberia Network,IB-023
70561,LA,St. Landry Parish,St. Landry Network,SL-049
70562,LA,Iberia Parish,Iberia Network,IB-023
70563,LA,Iberia Parish,Iberia Network,IB-023
70564,LA,St. Landry Parish,St. Landry Network,SL-049
70565,LA,St. Landry Parish,St. Landry Network,SL-049
70566,LA,St. Landry Parish,St. Landry Network,SL-049
70567,LA,St. Landry Parish,St. Landry Network,SL-049
70568,LA,St. Landry Parish,St. Landry Network,SL-049
70569,LA,Iberia Parish,Iberia Network,IB-023
70570,LA,St. Landry Parish,St. Landry Network,SL-049
70571,LA,St. Landry Parish,St. Landry Network,SL-049
70575,LA,Vermilion Parish,Vermilion Network,VE-057
70576,LA,Evangeline Parish,Evangeline Network,EV-020
70577,LA,St. Landry Parish,St. Landry Network,SL-049
70578,LA,Acadia Parish,Acadia Network,AC-001
70580,LA,Evangeline Parish,Evangeline Network,EV-020
70581,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70582,LA,St. Martin Parish,St. Martin Network,SM-050
70583,LA,Lafayette Parish,Lafayette Network,LA-028
70584,LA,St. Landry Parish,St. Landry Network,SL-049
70585,LA,Evangeline Parish,Evangeline Network,EV-020
70586,LA,Evangeline Parish,Evangeline Network,EV-020
70589,LA,St. Landry Parish,St. Landry Network,SL-049
70590,LA,St. Landry Parish,St. Landry Network,SL-049
70591,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70592,LA,Lafayette Parish,Lafayette Network,LA-028
70593,LA,Lafayette Parish,Lafayette Network,LA-028
70595,LA,Lafayette Parish,Lafayette Network,LA-028
70596,LA,Lafayette Parish,Lafayette Network,LA-028
70598,LA,Lafayette Parish,Lafayette Network,LA-028
70601,LA,Calcasieu Parish,Calcasieu Network,CC-010
70602,LA,Calcasieu Parish,Calcasieu Network,CC-010
70603,LA,Calcasieu Parish,Calcasieu Network,CC-010
70604,LA,Calcasieu Parish,Calcasieu Network,CC-010
70605,LA,Calcasieu Parish,Calcasieu Network,CC-010
70606,LA,Calcasieu Parish,Calcasieu Network,CC-010
70607,LA,Calcasieu Parish,Calcasieu Network,CC-010
70609,LA,Calcasieu Parish,Calcasieu Network,CC-010
70611,LA,Calcasieu Parish,Calcasieu Network,CC-010
70612,LA,Calcasieu Parish,Calcasieu Network,CC-010
70615,LA,Calcasieu Parish,Calcasieu Network,CC-010
70616,LA,Calcasieu Parish,Calcasieu Network,CC-010
70629,LA,Calcasieu Parish,Calcasieu Network,CC-010
70630,LA,Calcasieu Parish,Calcasieu Network,CC-010
70631,LA,Cameron Parish,Cameron Network,CM-012
70632,LA,Cameron Parish,Cameron Network,CM-012
70633,LA,Calcasieu Parish,Calcasieu Network,CC-010
70634,LA,Beauregard Parish,Beauregard Network,BE-006
70637,LA,Allen Parish,Allen Network,AL-002
70638,LA,Allen Parish,Allen Network,AL-002
70639,LA,Vernon Parish,Vernon Network,VN-058
70640,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70643,LA,Cameron Parish,Cameron Network,CM-012
70644,LA,Allen Parish,Allen Network,AL-002
70645,LA,Cameron Parish,Cameron Network,CM-012
70646,LA,Calcasieu Parish,Calcasieu Network,CC-010
70647,LA,Calcasieu Parish,Calcasieu Network,CC-010
70648,LA,Allen Parish,Allen Network,AL-002
70650,LA,Jefferson Davis Parish,Jefferson Davis Network,JD-027
70651,LA,Allen Parish,Allen Network,AL-002
70652,LA,Beauregard Parish,Beauregard Network,BE-006
70653,LA,Beauregard Parish,Beauregard Network,BE-006
70654,LA,Allen Parish,Allen Network,AL-002
70655,LA,Allen Parish,Allen Network,AL-002
70656,LA,Vernon Parish,Vernon Network,VN-058
70657,LA,Beauregard Parish,Beauregard Network,BE-006
70658,LA,Allen Parish,Allen Network,AL-002
70659,LA,Vernon Parish,Vernon Network,VN-058
70660,LA,Beauregard Parish,Beauregard Network,BE-006
70661,LA,Calcasieu Parish,Calcasieu Network,CC-010
70662,LA,Beauregard Parish,Beauregard Network,BE-006
70663,LA,Calcasieu Parish,Calcasieu Network,CC-010
70664,LA,Calcasieu Parish,Calcasieu Network,CC-010
70665,LA,Calcasieu Parish,Calcasieu Network,CC-010
70668,LA,Calcasieu Parish,Calcasieu Network,CC-010
70669,LA,Calcasieu Parish,Calcasieu Network,CC-010
70704,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70706,LA,Livingston Parish,Livingston Network,LV-032
70707,LA,Ascension Parish,Ascension Network,AS-003
70710,LA,West Baton Rouge Parish,West Baton Rouge Network,WB-061
70711,LA,Livingston Parish,Livingston Network,LV-032
70712,LA,West Feliciana Parish,West Feliciana Network,WF-063
70714,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70715,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70718,LA,Ascension Parish,Ascension Network,AS-003
70719,LA,West Baton Rouge Parish,West Baton Rouge Network,WB-061
70721,LA,Iberville Parish,Iberville Network,IV-024
70722,LA,East Feliciana Parish,East Feliciana Network,EF-019
70723,LA,St. James Parish,St. James Network,SJ-047
70725,LA,Ascension Parish,Ascension Network,AS-003
70726,LA,Livingston Parish,Livingston Network,LV-032
70727,LA,Livingston Parish,Livingston Network,LV-032
70728,LA,Ascension Parish,Ascension Network,AS-003
70729,LA,West Baton Rouge Parish,West Baton Rouge Network,WB-061
70730,LA,East Feliciana Parish,East Feliciana Network,EF-019
70732,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70733,LA,Livingston Parish,Livingston Network,LV-032
70734,LA,Ascension Parish,Ascension Network,AS-003
70736,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70737,LA,Ascension Parish,Ascension Network,AS-003
70738,LA,Ascension Parish,Ascension Network,AS-003
70739,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70740,LA,Iberville Parish,Iberville Network,IV-024
70742,LA,Iberville Parish,Iberville Network,IV-024
70743,LA,St. James Parish,St. James Network,SJ-047
70744,LA,Livingston Parish,Livingston Network,LV-032
70747,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70748,LA,East Feliciana Parish,East Feliciana Network,EF-019
70749,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70750,LA,St. Landry Parish,St. Landry Network,SL-049
70752,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70753,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70754,LA,Livingston Parish,Livingston Network,LV-032
70755,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70756,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70757,LA,Iberville Parish,Iberville Network,IV-024
70759,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70760,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70761,LA,East Feliciana Parish,East Feliciana Network,EF-019
70762,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70763,LA,St. James Parish,St. James Network,SJ-047
70764,LA,Iberville Parish,Iberville Network,IV-024
70765,LA,Iberville Parish,Iberville Network,IV-024
70767,LA,West Baton Rouge Parish,West Baton Rouge Network,WB-061
70769,LA,Ascension Parish,Ascension Network,AS-003
70770,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70772,LA,Iberville Parish,Iberville Network,IV-024
70773,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70774,LA,Ascension Parish,Ascension Network,AS-003
70775,LA,West Feliciana Parish,West Feliciana Network,WF-063
70776,LA,Iberville Parish,Iberville Network,IV-024
70777,LA,East Feliciana Parish,East Feliciana Network,EF-019
70778,LA,Ascension Parish,Ascension Network,AS-003
70780,LA,Iberville Parish,Iberville Network,IV-024
70782,LA,West Feliciana Parish,West Feliciana Network,WF-063
70783,LA,Pointe Coupee Parish,Pointe Coupee Network,PC-039
70784,LA,West Feliciana Parish,West Feliciana Network,WF-063
70785,LA,Livingston Parish,Livingston Network,LV-032
70786,LA,Livingston Parish,Livingston Network,LV-032
70787,LA,West Feliciana Parish,West Feliciana Network,WF-063
70788,LA,Iberville Parish,Iberville Network,IV-024
70789,LA,East Feliciana Parish,East Feliciana Network,EF-019
70791,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70792,LA,St James Parish,St. James Network,SJ-047
70801,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70802,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70803,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70804,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70805,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70806,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70807,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70808,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70809,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70810,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70811,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70812,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70813,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70814,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70815,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70816,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70817,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70818,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70819,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70820,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70821,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70822,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70823,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70825,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70826,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70827,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70831,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70833,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70835,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70836,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70837,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70873,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70874,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70879,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70883,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70884,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70891,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70892,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70893,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70894,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70895,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70896,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
70898,LA,East Baton Rouge Parish,East Baton Rouge Network,EB-017
71001,LA,Bienville Parish,Bienville Network,BI-007
71002,LA,Natchitoches Parish,Natchitoches Network,NA-035
71003,LA,Claiborne Parish,Claiborne Network,CL-014
71004,LA,Caddo Parish,Caddo Network,CA-009
71006,LA,Bossier Parish,Bossier Network,BO-008
71007,LA,Caddo Parish,Caddo Network,CA-009
71008,LA,Bienville Parish,Bienville Network,BI-007
71009,LA,Caddo Parish,Caddo Network,CA-009
71010,LA,Caddo Parish,Caddo Network,CA-009
71011,LA,Caddo Parish,Caddo Network,CA-009
71013,LA,Caddo Parish,Caddo Network,CA-009
71014,LA,Caddo Parish,Caddo Network,CA-009
71015,LA,Caddo Parish,Caddo Network,CA-009
71016,LA,Bienville Parish,Bienville Network,BI-007
71018,LA,Webster Parish,Webster Network,WE-060
71019,LA,Red River Parish,Red River Network,RR-041
71021,LA,Webster Parish,Webster Network,WE-060
71023,LA,Webster Parish,Webster Network,WE-060
71024,LA,Webster Parish,Webster Network,WE-060
71026,LA,De Soto Parish,De Soto Network,DS-016
71027,LA,De Soto Parish,De Soto Network,DS-016
