ZIP_Code,Parish,Network_Name,Network_Code,State
70402,Tangipahoa,Tangipahoa Network,TA-053,LA
70403,Tangipahoa,Tangipahoa Network,TA-053,LA
70404,Tangipahoa,Tangipahoa Network,TA-053,LA
70420,Tangipahoa,Tangipahoa Network,TA-053,LA
70421,Tangipahoa,Tangipahoa Network,TA-053,LA
70422,Tangipahoa,Tangipahoa Network,TA-053,LA
70426,Washington,Washington Network,WA-059,LA
70427,Washington,Washington Network,WA-059,LA
70429,St. Tammany,St. Tammany Network,ST-052,LA
70431,Washington,Washington Network,WA-059,LA
70432,St. Tammany,St. Tammany Network,ST-052,LA
70433,St. Tammany,St. Tammany Network,ST-052,LA
70434,St. Tammany,St. Tammany Network,ST-052,LA
70435,Washington,Washington Network,WA-059,LA
70436,Washington,Washington Network,WA-059,LA
70437,Washington,Washington Network,WA-059,LA
70438,Washington,Washington Network,WA-059,LA
70439,St. Tammany,St. Tammany Network,ST-052,LA
70440,St. Tammany,St. Tammany Network,ST-052,LA
70441,Washington,Washington Network,WA-059,LA
70442,Washington,Washington Network,WA-059,LA
70443,Washington,Washington Network,WA-059,LA
70444,Washington,Washington Network,WA-059,LA
70445,Washington,Washington Network,WA-059,LA
70446,Washington,Washington Network,WA-059,LA
70447,Washington,Washington Network,WA-059,LA
70448,Washington,Washington Network,WA-059,LA
70449,Livingston,Livingston Network,LV-032,LA
70450,Tangipahoa,Tangipahoa Network,TA-053,LA
70451,Tangipahoa,Tangipahoa Network,TA-053,LA
70452,Tangipahoa,Tangipahoa Network,TA-053,LA
70453,Tangipahoa,Tangipahoa Network,TA-053,LA
70454,Tangipahoa,Tangipahoa Network,TA-053,LA
70455,Tangipahoa,Tangipahoa Network,TA-053,LA
70456,Tangipahoa,Tangipahoa Network,TA-053,LA
70457,Livingston,Livingston Network,LV-032,LA
70458,St. Tammany,St. Tammany Network,ST-052,LA
70459,St. Tammany,St. Tammany Network,ST-052,LA
70460,St. Tammany,St. Tammany Network,ST-052,LA
70461,St. Tammany,St. Tammany Network,ST-052,LA
70462,Livingston,Livingston Network,LV-032,LA
70463,St. Helena,St. Helena Network,SH-046,LA
70464,St. Helena,St. Helena Network,SH-046,LA
70465,St. Helena,St. Helena Network,SH-046,LA
70466,Tangipahoa,Tangipahoa Network,TA-053,LA
70467,St. Helena,St. Helena Network,SH-046,LA
70469,St. Tammany,St. Tammany Network,ST-052,LA
70470,St. Tammany,St. Tammany Network,ST-052,LA
70471,St. Tammany,St. Tammany Network,ST-052,LA
70501,Lafayette,Lafayette Network,LA-028,LA
70502,Lafayette,Lafayette Network,LA-028,LA
70503,Lafayette,Lafayette Network,LA-028,LA
70504,Lafayette,Lafayette Network,LA-028,LA
70505,Lafayette,Lafayette Network,LA-028,LA
70506,Lafayette,Lafayette Network,LA-028,LA
70507,Lafayette,Lafayette Network,LA-028,LA
70508,Lafayette,Lafayette Network,LA-028,LA
70509,Lafayette,Lafayette Network,LA-028,LA
70510,Vermilion,Vermilion Network,VE-057,LA
70511,Vermilion,Vermilion Network,VE-057,LA
70512,Evangeline,Evangeline Network,EV-020,LA
70513,Iberia,Iberia Network,IB-023,LA
70514,Vermilion,Vermilion Network,VE-057,LA
70515,St. Landry,St. Landry Network,SL-049,LA
70516,St. Landry,St. Landry Network,SL-049,LA
70517,Iberia,Iberia Network,IB-023,LA
70518,St. Landry,St. Landry Network,SL-049,LA
70519,Iberia,Iberia Network,IB-023,LA
70520,Iberia,Iberia Network,IB-023,LA
70521,Vermilion,Vermilion Network,VE-057,LA
70522,Iberia,Iberia Network,IB-023,LA
70523,Iberia,Iberia Network,IB-023,LA
70524,Evangeline,Evangeline Network,EV-020,LA
70525,St. Martin,St. Martin Network,SM-050,LA
70526,Acadia,Acadia Network,AC-001,LA
70527,St. Martin,St. Martin Network,SM-050,LA
70528,Acadia,Acadia Network,AC-001,LA
70529,St. Landry,St. Landry Network,SL-049,LA
70530,St. Martin,St. Martin Network,SM-050,LA
70531,Acadia,Acadia Network,AC-001,LA
70532,Vermilion,Vermilion Network,VE-057,LA
70533,Jefferson Davis,Jefferson Davis Network,JD-027,LA
70534,Vermilion,Vermilion Network,VE-057,LA
70535,Acadia,Acadia Network,AC-001,LA
70536,Jefferson Davis,Jefferson Davis Network,JD-027,LA
70537,St. Landry,St. Landry Network,SL-049,LA
70538,Vermilion,Vermilion Network,VE-057,LA
70539,Vermilion,Vermilion Network,VE-057,LA
70540,St. Landry,St. Landry Network,SL-049,LA
70541,Evangeline,Evangeline Network,EV-020,LA
70542,Vermilion,Vermilion Network,VE-057,LA
70543,Acadia,Acadia Network,AC-001,LA
70544,Vermilion,Vermilion Network,VE-057,LA
70545,St. Landry,St. Landry Network,SL-049,LA
70546,Acadia,Acadia Network,AC-001,LA
70547,Vermilion,Vermilion Network,VE-057,LA
70548,Vermilion,Vermilion Network,VE-057,LA
70549,Acadia,Acadia Network,AC-001,LA
70550,Evangeline,Evangeline Network,EV-020,LA
70551,Iberia,Iberia Network,IB-023,LA
70552,Iberia,Iberia Network,IB-023,LA
70553,St. Landry,St. Landry Network,SL-049,LA
70554,Acadia,Acadia Network,AC-001,LA
70555,Iberia,Iberia Network,IB-023,LA
70556,Evangeline,Evangeline Network,EV-020,LA
70557,Iberia,Iberia Network,IB-023,LA
70558,Evangeline,Evangeline Network,EV-020,LA
70559,Iberia,Iberia Network,IB-023,LA
70560,Acadia,Acadia Network,AC-001,LA
70561,St. Landry,St. Landry Network,SL-049,LA
70562,Iberia,Iberia Network,IB-023,LA
70563,Acadia,Acadia Network,AC-001,LA
70564,St. Landry,St. Landry Network,SL-049,LA
70565,St. Landry,St. Landry Network,SL-049,LA
70566,St. Landry,St. Landry Network,SL-049,LA
70567,St. Landry,St. Landry Network,SL-049,LA
70568,St. Landry,St. Landry Network,SL-049,LA
70569,Acadia,Acadia Network,AC-001,LA
70570,Evangeline,Evangeline Network,EV-020,LA
70571,Evangeline,Evangeline Network,EV-020,LA
70575,St. Landry,St. Landry Network,SL-049,LA
70576,St. Landry,St. Landry Network,SL-049,LA
70577,Acadia,Acadia Network,AC-001,LA
70578,Acadia,Acadia Network,AC-001,LA
70580,Acadia,Acadia Network,AC-001,LA
70581,Evangeline,Evangeline Network,EV-020,LA
70582,St. Landry,St. Landry Network,SL-049,LA
70583,Jefferson Davis,Jefferson Davis Network,JD-027,LA
70584,Acadia,Acadia Network,AC-001,LA
70585,St. Martin,St. Martin Network,SM-050,LA
70586,St. Martin,St. Martin Network,SM-050,LA
70589,Evangeline,Evangeline Network,EV-020,LA
70590,St. Landry,St. Landry Network,SL-049,LA
70591,Acadia,Acadia Network,AC-001,LA
70601,Calcasieu,Calcasieu Network,CC-010,LA
70602,Calcasieu,Calcasieu Network,CC-010,LA
70603,Calcasieu,Calcasieu Network,CC-010,LA
70604,Calcasieu,Calcasieu Network,CC-010,LA
70605,Calcasieu,Calcasieu Network,CC-010,LA
70606,Calcasieu,Calcasieu Network,CC-010,LA
70607,Calcasieu,Calcasieu Network,CC-010,LA
70609,Calcasieu,Calcasieu Network,CC-010,LA
70611,Calcasieu,Calcasieu Network,CC-010,LA
70612,Calcasieu,Calcasieu Network,CC-010,LA
70615,Calcasieu,Calcasieu Network,CC-010,LA
70616,Calcasieu,Calcasieu Network,CC-010,LA
70630,Beauregard,Beauregard Network,BE-006,LA
70631,Cameron,Cameron Network,CM-012,LA
70632,Beauregard,Beauregard Network,BE-006,LA
70633,Beauregard,Beauregard Network,BE-006,LA
70634,Beauregard,Beauregard Network,BE-006,LA
70637,Allen,Allen Network,AL-002,LA
70638,Allen,Allen Network,AL-002,LA
70639,Allen,Allen Network,AL-002,LA
70640,Allen,Allen Network,AL-002,LA
70643,Cameron,Cameron Network,CM-012,LA
70644,Allen,Allen Network,AL-002,LA
70645,Cameron,Cameron Network,CM-012,LA
70646,Beauregard,Beauregard Network,BE-006,LA
70647,Beauregard,Beauregard Network,BE-006,LA
70648,Cameron,Cameron Network,CM-012,LA
70650,Beauregard,Beauregard Network,BE-006,LA
70651,Beauregard,Beauregard Network,BE-006,LA
70652,Beauregard,Beauregard Network,BE-006,LA
70653,Beauregard,Beauregard Network,BE-006,LA
70654,Beauregard,Beauregard Network,BE-006,LA
70655,Allen,Allen Network,AL-002,LA
70656,Allen,Allen Network,AL-002,LA
70657,Allen,Allen Network,AL-002,LA
70658,Beauregard,Beauregard Network,BE-006,LA
70659,Allen,Allen Network,AL-002,LA
70660,Beauregard,Beauregard Network,BE-006,LA
70661,Beauregard,Beauregard Network,BE-006,LA
70662,Beauregard,Beauregard Network,BE-006,LA
70663,Beauregard,Beauregard Network,BE-006,LA
70664,Beauregard,Beauregard Network,BE-006,LA
70665,Beauregard,Beauregard Network,BE-006,LA
70710,West Baton Rouge,West Baton Rouge Network,WB-061,LA
70711,West Feliciana,West Feliciana Network,WF-063,LA
70712,West Baton Rouge,West Baton Rouge Network,WB-061,LA
70714,Ascension,Ascension Network,AS-003,LA
70715,West Feliciana,West Feliciana Network,WF-063,LA
70719,West Baton Rouge,West Baton Rouge Network,WB-061,LA
70721,Pointe Coupee,Pointe Coupee Network,PC-039,LA
70729,West Baton Rouge,West Baton Rouge Network,WB-061,LA
70730,East Feliciana,East Feliciana Network,EF-019,LA
70733,Iberville,Iberville Network,IV-024,LA
70734,Ascension,Ascension Network,AS-003,LA
70736,Iberville,Iberville Network,IV-024,LA
70737,Ascension,Ascension Network,AS-003,LA
70739,Iberville,Iberville Network,IV-024,LA
70740,East Feliciana,East Feliciana Network,EF-019,LA
70742,Iberville,Iberville Network,IV-024,LA
70743,East Feliciana,East Feliciana Network,EF-019,LA
70744,Pointe Coupee,Pointe Coupee Network,PC-039,LA
70747,Iberville,Iberville Network,IV-024,LA
70748,West Feliciana,West Feliciana Network,WF-063,LA
70749,Iberville,Iberville Network,IV-024,LA
70750,Iberville,Iberville Network,IV-024,LA
70752,Iberville,Iberville Network,IV-024,LA
70754,West Feliciana,West Feliciana Network,WF-063,LA
70755,East Feliciana,East Feliciana Network,EF-019,LA
70756,East Feliciana,East Feliciana Network,EF-019,LA
70757,Iberville,Iberville Network,IV-024,LA
70759,Iberville,Iberville Network,IV-024,LA
70760,Iberville,Iberville Network,IV-024,LA
70762,East Feliciana,East Feliciana Network,EF-019,LA
70763,Pointe Coupee,Pointe Coupee Network,PC-039,LA
70764,Iberville,Iberville Network,IV-024,LA
70765,Pointe Coupee,Pointe Coupee Network,PC-039,LA
70767,West Baton Rouge,West Baton Rouge Network,WB-061,LA
70769,West Baton Rouge,West Baton Rouge Network,WB-061,LA
70770,West Baton Rouge,West Baton Rouge Network,WB-061,LA
70772,Iberville,Iberville Network,IV-024,LA
70773,Iberville,Iberville Network,IV-024,LA
70774,Ascension,Ascension Network,AS-003,LA
70775,East Feliciana,East Feliciana Network,EF-019,LA
70776,Iberville,Iberville Network,IV-024,LA
70777,Pointe Coupee,Pointe Coupee Network,PC-039,LA
70778,Ascension,Ascension Network,AS-003,LA
70780,Iberville,Iberville Network,IV-024,LA
70782,Iberville,Iberville Network,IV-024,LA
70783,Iberville,Iberville Network,IV-024,LA
70784,Iberville,Iberville Network,IV-024,LA
70785,Iberville,Iberville Network,IV-024,LA
70786,Iberville,Iberville Network,IV-024,LA
70787,Iberville,Iberville Network,IV-024,LA
70788,Iberville,Iberville Network,IV-024,LA
70791,Ascension,Ascension Network,AS-003,LA
70801,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70802,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70803,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70804,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70805,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70806,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70807,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70808,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70809,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70810,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70811,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70812,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70813,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70814,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70815,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70816,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70817,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70818,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70819,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70820,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70821,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70825,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70826,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70827,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70831,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70833,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70836,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70837,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70874,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70879,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70895,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70896,East Baton Rouge,East Baton Rouge Network,EB-017,LA
70898,East Baton Rouge,East Baton Rouge Network,EB-017,LA
71001,Webster,Webster Network,WE-060,LA
71002,Caddo,Caddo Network,CA-009,LA
71003,Webster,Webster Network,WE-060,LA
71004,Caddo,Caddo Network,CA-009,LA
71006,Vernon,Vernon Network,VN-058,LA
71007,Bossier,Bossier Network,BO-008,LA
71008,Caddo,Caddo Network,CA-009,LA
71009,Bossier,Bossier Network,BO-008,LA
71010,Caddo,Caddo Network,CA-009,LA
71011,Caddo,Caddo Network,CA-009,LA
71013,Caddo,Caddo Network,CA-009,LA
71014,Caddo,Caddo Network,CA-009,LA
71015,Caddo,Caddo Network,CA-009,LA
71016,Webster,Webster Network,WE-060,LA
71018,Webster,Webster Network,WE-060,LA
71019,Bossier,Bossier Network,BO-008,LA
71021,Bossier,Bossier Network,BO-008,LA
71023,Bossier,Bossier Network,BO-008,LA
71024,Claiborne,Claiborne Network,CL-014,LA
71026,De Soto,De Soto Network,DS-016,LA
71027,Webster,Webster Network,WE-060,LA
71028,Caddo,Caddo Network,CA-009,LA
71029,Bienville,Bienville Network,BI-007,LA
71030,Caddo,Caddo Network,CA-009,LA
71032,Caddo,Caddo Network,CA-009,LA
71033,Caddo,Caddo Network,CA-009,LA
71034,Bienville,Bienville Network,BI-007,LA
71037,Bossier,Bossier Network,BO-008,LA
71038,Webster,Webster Network,WE-060,LA
71039,Webster,Webster Network,WE-060,LA
71040,Bossier,Bossier Network,BO-008,LA
71041,Claiborne,Claiborne Network,CL-014,LA
71042,Red River,Red River Network,RR-041,LA
71043,Bossier,Bossier Network,BO-008,LA
71044,Claiborne,Claiborne Network,CL-014,LA
71045,Bossier,Bossier Network,BO-008,LA
71046,Webster,Webster Network,WE-060,LA
71047,Caddo,Caddo Network,CA-009,LA
71048,Caddo,Caddo Network,CA-009,LA
71049,Bossier,Bossier Network,BO-008,LA
71050,De Soto,De Soto Network,DS-016,LA
71051,Caddo,Caddo Network,CA-009,LA
71052,Bossier,Bossier Network,BO-008,LA
71053,Bossier,Bossier Network,BO-008,LA
71054,Caddo,Caddo Network,CA-009,LA
71055,Webster,Webster Network,WE-060,LA
71056,Caddo,Caddo Network,CA-009,LA
71057,Red River,Red River Network,RR-041,LA
71058,Caddo,Caddo Network,CA-009,LA
71060,Webster,Webster Network,WE-060,LA
71061,De Soto,De Soto Network,DS-016,LA
71062,Red River,Red River Network,RR-041,LA
71063,Bossier,Bossier Network,BO-008,LA
71064,Bossier,Bossier Network,BO-008,LA
71065,Caddo,Caddo Network,CA-009,LA
71066,Bossier,Bossier Network,BO-008,LA
71067,Bossier,Bossier Network,BO-008,LA
71068,Bossier,Bossier Network,BO-008,LA
71069,Bossier,Bossier Network,BO-008,LA
71070,Claiborne,Claiborne Network,CL-014,LA
71071,Bossier,Bossier Network,BO-008,LA
71072,Webster,Webster Network,WE-060,LA
71073,Claiborne,Claiborne Network,CL-014,LA
71074,De Soto,De Soto Network,DS-016,LA
71075,Bossier,Bossier Network,BO-008,LA
71076,De Soto,De Soto Network,DS-016,LA
71077,Red River,Red River Network,RR-041,LA
71078,Claiborne,Claiborne Network,CL-014,LA
71079,Webster,Webster Network,WE-060,LA
71080,De Soto,De Soto Network,DS-016,LA
71082,Webster,Webster Network,WE-060,LA
71083,Red River,Red River Network,RR-041,LA
71101,Caddo,Caddo Network,CA-009,LA
71102,Caddo,Caddo Network,CA-009,LA
71103,Caddo,Caddo Network,CA-009,LA
71104,Caddo,Caddo Network,CA-009,LA
71105,Caddo,Caddo Network,CA-009,LA
71106,Caddo,Caddo Network,CA-009,LA
71107,Caddo,Caddo Network,CA-009,LA
71108,Caddo,Caddo Network,CA-009,LA
71109,Caddo,Caddo Network,CA-009,LA
71110,Caddo,Caddo Network,CA-009,LA
71111,Bossier,Bossier Network,BO-008,LA
71112,Bossier,Bossier Network,BO-008,LA
71118,Caddo,Caddo Network,CA-009,LA
71119,Caddo,Caddo Network,CA-009,LA
71120,Caddo,Caddo Network,CA-009,LA
71129,Caddo,Caddo Network,CA-009,LA
71130,Caddo,Caddo Network,CA-009,LA
71201,Lincoln,Lincoln Network,LI-031,LA
71202,Lincoln,Lincoln Network,LI-031,LA
71203,Lincoln,Lincoln Network,LI-031,LA
71204,Ouachita,Ouachita Network,OU-037,LA
71205,Ouachita,Ouachita Network,OU-037,LA
71206,Ouachita,Ouachita Network,OU-037,LA
71207,Lincoln,Lincoln Network,LI-031,LA
71208,Lincoln,Lincoln Network,LI-031,LA
71209,Lincoln,Lincoln Network,LI-031,LA
71210,Lincoln,Lincoln Network,LI-031,LA
71211,Lincoln,Lincoln Network,LI-031,LA
71212,Lincoln,Lincoln Network,LI-031,LA
71213,Lincoln,Lincoln Network,LI-031,LA
71214,Jackson,Jackson Network,JA-025,LA
71218,Jackson,Jackson Network,JA-025,LA
71219,Jackson,Jackson Network,JA-025,LA
71220,Morehouse,Morehouse Network,MO-034,LA
71222,Morehouse,Morehouse Network,MO-034,LA
71223,Morehouse,Morehouse Network,MO-034,LA
71225,Morehouse,Morehouse Network,MO-034,LA
71226,Morehouse,Morehouse Network,MO-034,LA
71227,Morehouse,Morehouse Network,MO-034,LA
71228,Franklin,Franklin Network,FR-021,LA
71229,Morehouse,Morehouse Network,MO-034,LA
71230,Morehouse,Morehouse Network,MO-034,LA
71232,West Carroll,West Carroll Network,WC-062,LA
71233,West Carroll,West Carroll Network,WC-062,LA
71234,West Carroll,West Carroll Network,WC-062,LA
71235,Madison,Madison Network,MA-033,LA
71237,Franklin,Franklin Network,FR-021,LA
71238,Richland,Richland Network,RI-042,LA
71239,West Carroll,West Carroll Network,WC-062,LA
71240,Madison,Madison Network,MA-033,LA
71241,Union,Union Network,UN-056,LA
71242,East Carroll,East Carroll Network,EC-018,LA
71243,Madison,Madison Network,MA-033,LA
71245,Franklin,Franklin Network,FR-021,LA
71247,Union,Union Network,UN-056,LA
71249,Jackson,Jackson Network,JA-025,LA
71251,Franklin,Franklin Network,FR-021,LA
71253,Franklin,Franklin Network,FR-021,LA
71254,Madison,Madison Network,MA-033,LA
71256,East Carroll,East Carroll Network,EC-018,LA
71259,Union,Union Network,UN-056,LA
71260,West Carroll,West Carroll Network,WC-062,LA
71261,Richland,Richland Network,RI-042,LA
71263,Richland,Richland Network,RI-042,LA
71264,East Carroll,East Carroll Network,EC-018,LA
71266,East Carroll,East Carroll Network,EC-018,LA
71268,Union,Union Network,UN-056,LA
71269,Madison,Madison Network,MA-033,LA
71270,Richland,Richland Network,RI-042,LA
71272,Richland,Richland Network,RI-042,LA
71273,Richland,Richland Network,RI-042,LA
71275,Union,Union Network,UN-056,LA
71277,Union,Union Network,UN-056,LA
